ts_utc,run_id,query_id,query_group,query_text,retrieval_system,top_k,latency_ms,result_count,index_name
2026-04-06T17:49:04.352357+00:00,2b5553fa-2a51-4a3e-83d3-eed48c8dfcb9,Q_S1,group1,"I’m looking for a lamp design where a flexible substrate is wrapped around a central heat dissipation column, and small connecting strips are arranged to press against the outer surface of that column to stabilize the structure.",bm25,10,71,10,patent_bm25_v1
2026-04-06T18:00:44.736322+00:00,1e0677cd-f05e-431a-8022-2876a2071378,Q_S1,group1,"I’m looking for a lamp design where a flexible substrate is wrapped around a central heat dissipation column, and small connecting strips are arranged to press against the outer surface of that column to stabilize the structure.",bm25,10,11,10,patent_bm25_v1
2026-04-06T20:16:41.232978+00:00,ffa6f00f-be0c-4142-81f5-5d7595d6e1b6,Q_S2,group1,I want a lighting device where the light-emitting elements are mounted on a flexible circuit board that is physically supported by surrounding side plates and a top plate to prevent deformation.,bm25,10,19,10,patent_bm25_v1
2026-04-06T20:38:16.820820+00:00,a1e7275a-82ef-4d94-b1ec-3eb3283de2f0,Q_S2,group1,I want a lighting device where the light-emitting elements are mounted on a flexible circuit board that is physically supported by surrounding side plates and a top plate to prevent deformation.,bm25,10,20,10,patent_bm25_v1
2026-04-06T21:07:44.722105+00:00,2cf043b5-0d87-4bdf-a382-94d93025d9fa,Q_S1,group1,"I’m looking for a lamp design where a flexible substrate is wrapped around a central heat dissipation column, and small connecting strips are arranged to press against the outer surface of that column to stabilize the structure.",bm25,10,13,10,patent_bm25_v1
2026-04-07T12:15:30.440986+00:00,2303ee98-c4ce-458d-9cfd-b1a0d5bcc9dd,Q_F1,group1,I am searching for a lighting system that improves thermal management so that the lamp can operate at lower temperatures and achieve a longer service life.,bm25,10,11,10,patent_bm25_v1
2026-04-07T12:30:55.402439+00:00,b2fe8c74-03d9-4e5d-9f38-ccfd29d2285c,Q_F2,group1,I need a lamp structure designed to reduce heat accumulation and maintain stable performance over extended operating periods.,bm25,10,7,10,patent_bm25_v1
2026-04-07T12:47:46.731334+00:00,4275dfa4-4d3f-47e8-8e2e-02b6435f2e64,Q_C1,group1,"I’m trying to find a lamp where tilting or warping of a flexible substrate leads to overheating, and the invention proposes a structural solution to prevent that chain of problems.",bm25,10,8,10,patent_bm25_v1
2026-04-07T13:01:46.559662+00:00,3e635409-a3d4-4b9a-aba7-44f5185fb8ae,Q_C2,group1,"I’m interested in a lighting device where mechanical deformation of the circuit board causes thermal buildup, which then shortens the product’s lifetime.",bm25,10,8,10,patent_bm25_v1
2026-04-07T13:11:48.962379+00:00,ad3b2163-10a9-42e2-b36c-19cd55ae56d6,Q_N1,group1,"In the context of smart urban lighting and adaptive architectural illumination systems, I’m particularly interested in decorative and modular lamp solutions. However, my real concern is a design that prevents flexible substrate deformation from causing overheating and reduced lifetime.",bm25,10,8,10,patent_bm25_v1
2026-04-07T13:23:24.957022+00:00,91c29c4a-8d3f-4842-acb1-f723d12eab2b,Q_N2,group1,"While considering compatibility with smart home ecosystems and aesthetic customization of lighting fixtures, I am mainly looking for a structural solution that stabilizes a flexible circuit board to avoid thermal issues.",bm25,10,9,10,patent_bm25_v1
2026-04-07T13:23:55.496238+00:00,09108302-2c3c-4854-b79a-230cc3a0e481,Q_N2,group1,"While considering compatibility with smart home ecosystems and aesthetic customization of lighting fixtures, I am mainly looking for a structural solution that stabilizes a flexible circuit board to avoid thermal issues.",bm25,10,6,10,patent_bm25_v1
2026-04-07T13:53:49.962321+00:00,07af5c2e-6b9e-4ec9-98b4-a4222f5dc63e,Q_R1,group1,I am looking for a lamp design where deformation of a flexible substrate does not cause overheating and does not reduce the service life of the device.,bm25,10,11,10,patent_bm25_v1
2026-04-07T14:05:44.770590+00:00,35886ba9-0fe3-49ab-8092-4dc012c52e1d,Q_R2,group1,I’m interested in a lighting structure that intentionally allows some movement or bending of the circuit board without negatively affecting thermal performance.,bm25,10,8,10,patent_bm25_v1
